song,artist,lyrics,year,mood
I Want to Break Free,Queen,"I want to break free
I want to break free
I want to break free from your lies
You're so self satisfied I don't need you
I've got to break free
God knows, God knows I want to break free

I've fallen in love
I've fallen in love for the first time

And this time I know it's for real
I've fallen in love, yeah
God knows, God knows I've fallen in love

It's strange but it's true
I can't get over the way you love me like you do
But I have to be sure
When I walk out that door
Oh how I want to be free, baby
Oh how I want to be free
Oh how I want to break free

But life still goes on
I can't get used to, living without, living without
Living without you by my side
I don't want to live alone, hey
God knows, got to make it on my own
So baby can't you see
I've got to break free

I've got to break free
I want to break free, yeah

I want, I want, I want, I want to break
Free",1984,happy
Ray of Light,Madonna,"[Verse:]
Zephyr in the sky at night I wonder
Do my tears of mourning sink beneath the sun
She's got herself a universe gone quickly
For the call of thunder threatens everyone

[Chorus:]

And I feel like I just got home
And I feel
And I feel like I just got home
And I feel

Faster than the speeding light she's flying
Trying to remember where it all began
She's got herself a little piece of heaven
Waiting for the time when Earth shall be as one

[chorus]

Quicker than a ray of light
Quicker than a ray of light
Quicker than a ray of light

[verse]

And I feel
Quicker than a ray of light
Then gone for
Someone else shall be there
Through the endless years

She's got herself a universe
She's got herself a universe
She's got herself a universe

And I feel
And I feel
And I feel like I just got home
And I feel

Quicker than a ray of light she's flying
Quicker than a ray of light I'm flying",1998,happy
Chocolate,Snow Patrol,"This could be the very minute
I'm aware I'm alive
All these places feel like home

With a name I'd never chosen
I can make my first steps
As a child of 25

This is the straw, final straw in the
Roof of my mouth as I lie to you
Just because I'm sorry doesn't mean
I didn't enjoy it at the time

You're the only thing that I love
It scares me more every day
On my knees I think clearer

Goodness knows I saw it coming
Or at least I'll claim I did
But in truth I'm lost for words

What have I done it's too late for that
What have I become truth is nothing yet
A simple mistake starts the hardest time
I promise I'll do anything you ask...this time",2003,happy
Turn To Stone,Electric Light Orchestra,"The city streets are empty now THE LIGHTS DON'T SHINE NO MORE
and so the songs are way down low TURNING TURNING TURNING
A sound that flows into my mind THE ECHOES OF THE DAYLIGHT
of everything that is alive IN MY BLUE WORLD

I turn to stone when you are gone, I turn to stone.
Turn to stone when you comin' home, I can't go on.

The dying embers of the night A FIRE THAT SLOWLY FADES TILL DAWN
still glow upon the wall so bright BURNING BURNING BURNING
The tired streets that hide away FROM HERE TO EVERYWHERE THEY GO
roll past my door into the day IN MY BLUE WORLD

I turn to stone when you are gone, I turn to stone.
Turn to stone when you comin' home, I can't go on.
Turn to stone when you are gone, I turn to stone.

Yes, I'm turnin' to stone 'cos you ain't comin' home.
Why you ain't comin' home if I'm turnin' to stone?
You've been gone for so long and I can't carry on,
yes, I'm turnin', I'm turnin', I'm turnin' to stone.

The dancing shadows on the wall THE TWO-STEP IN THE HALL
are all I see since you've been gone TURNING TURNING TURNING
Through all I sit here and I wait I TURN TO STONE I TURN TO STONE
You will return again some day TO MY BLUE WORLD

I turn to stone when you are gone, I turn to stone.
Turn to stone when you comin' home, I can't go on.
Turn to stone when you are gone, I turn to stone.

I turn to stone when you are gone, I turn to stone.
Turn to stone when you comin' home, I can't go on.
Turn to stone when you are gone, I turn to stone.",1977,happy
Please Please Me,The Beatles,"Last night I said these words to my girl
I know you never even try, girl
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, oh yeah, like I please you

You don't need me to show the way, love
Why do I always have to say ""love""
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, oh yeah, like I please you

I don't wanna sound complaining
But you know there's always rain in my heart (In my heart)
I do all the pleasing with you, it's so hard to reason
With you, oh yeah, why do you make me blue

Last night I said these words to my girl
I know you never even try, girl
C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)
Please please me, oh yeah, like I please you
(Me) Whoa yeah, like I please you
(Me) Whoa yeah, like I please you",1963,happy
After Hours,We Are Scientists,"This door is always open,
This door is always open,
No one has the guts to shut us out.
But if we have to go now,
I guess there's always hope that,
Some place will be serving after hours.

This night is winding down but
Time means nothing,
As always at this hour
Time means nothing,
One final final round cos
Time means nothing,
Say that you'll stay
Say that you'll stay

We're finally drunk enough that,
We're finally soaking up,
The hours that everyone else throws away.
And if we have to go now,
I guess there's always hope,
Tomorrow night will be more of the same.

This night is winding down but
Time means nothing,
As always at this hour
Time means nothing,
One final final round cos
Time means nothing,
Say that you'll stay
Say that you'll stay
Say that you'll stay.

We're all right where we're supposed to be,
We're all right where we're supposed to be,
We're all right where we're supposed to be,
(Time means nothing)
We're all right where we're supposed to be,
(Time means nothing)

This door is always open,
This door is always open,
No one has the guts to shut us out.
No one has the guts to shut us out.

Time means nothing,
Time means nothing,
One final final round cos
Time means nothing,
Say that you'll stay
Say that you'll stay
Say that you'll stay.",2008,happy
Dashboard,Modest Mouse,"Well, it would've been, could've been worse than you would ever know.
Oh, the dashboard melted, but we still have the radio.

Oh, it should've been, could've been worse than you would ever know.
Well, you told me about nowhere well it sounds like someplace I'd like to go.

Oh, it could've been, should've been worse than you would ever know.
Well, the windshield was broken but I love the fresh air you know.
(The dashboard melted but we still have the radio)

Oh, it would've been, could've been worse than you would ever know, oh!
(The dashboard melted but we still have the radio)
Oh, we talked about nothing which was more than I wanted you to know-oh-oh-oh-oh.
Now here we go!

Oh! It would've been, could've been worse than it had even gone
Well, the car was on blocks, but I was already where I want.
(It was impossible, we ran it good, we ran it good)

Why should we ever even ever really even get to know?
(It was impossible, we ran it good, we ran it good)
Oh if the world don't like us it'll shake us just like we were a co-oh-oh-oh-old.
Now here we go!

Well we scheme and we scheme but we always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each east and west horizon,
Every dawn you're surprising,
and in the evening one's consoling
Saying ""See it wasn't quite as bad as""
Well, it would've been, could've been worse than you would ever know.

I was patiently erasing and recording the wrong episodes
After you had proved my point wrong,
It wasn't like I'd let it go, oh-oh-oh. Oh-oh-oh.
I just wanted to catch the last laugh of this show.

Yeah, it would've been, could've been worse than you would ever know.
Oh, the dashboard melted, but we still have the radio.
(The dashboard melted, but we ran it good, we ran it good)

Hard-wired to conceive, so much we'd have to stow it
Even needs have needs, tiny giants made of tinier giants.
Don't wear eyelids so I don't miss the last laugh of this show.
(The dashboard melted but we still have the radio)

Oh, we could've been, should've been worse than you would ever know.
(The dashboard melted but we still have the radio)
Well, you told me about nowhere well it sounds like someplace I'd like to go-oh-oh-oh-oh.
Now here we go!

Well we scheme and we scheme but we always blow it
We've yet to crash, but we still might as well tow it
Standing at a light switch to each east and west horizon,
Every dawn you're surprising,
and in the evening one's consoling
Saying ""See it wasn't quite as bad as""

Oh it would've been, could've been worse than you would ever know.",2007,happy
Tonight I Have To Leave It,Shout Out Louds,"Don't come up to me and say you like it.
It's better if you say you hate it, that's the truth exactly.
When we go out dancing I don't want to be bothered,
I just want to be bothered with real love.

So I heard it's no good to run,
but it feels so much better now that it's done
and tonight I have to leave it.

So I've heard you know how to write it,
does it mean you're good at putting things on paper?
Rumours say that you're very sorry.
Oh no you're not sorry, no you're not.

So I heard it's no good to run,
but it feels so much better now that it's done
and tonight I have to leave it.

Why don't you give love?
Why don't you give love?

Tonight I have to leave it.",2007,happy
Caravan Girl,Goldfrapp,"What is her name
That caravan girl
What is her name

You like the sun
A hazy day
What is her name

We're just talking
Like there's something
Like you know
Don't you know
Don't you know

We run away, we run away you and me
You get away and bring on back
We run away, we run away you and me
You get away and bring it on back

The food and game
That stranger on the hill
What is her name

You like the sun
A lazy day
Have you no name

Don't stop talking
There's just something
Like you know
I'd like to know

Should I stay
Or should I go
It's a long, long way to go
But I want to know
Yeah I won't be shy

We run away, we run away you and me
You get away and bring it on back

We run away, we run away you and me
You get away and bring it on back

Wanna runaway
Wanna runaway
Don't bring it on back

Wanna runaway
Wanna runaway
Don't bring it on back

Wanna runaway
Wanna runaway
Don't bring it on back",2008,happy
If You Got the Money,Jamie T,"If you got the money,
I think it would be funny
To take your girl, and spend a bit of your cash for me
(I've been watching you)
'Cause then she might be happy, and no longer lonely
And I could take her out the next day for pretty much free

An' all the boys they go:
da-dee-doo-da-da-dee-da-doo-dah...
da-dee-doo-da-da-dee-da-doo-dah...

I spend late nights trying to pick up love
Off the floor, where the other brothers leave it be
Though it's stuck down hard it's like chewing gum
While a girl on the floor singing R.I.P.

'Cause the songbirds don't do singing on pavements
No sweet melody the sound of spit
We Spat, Orbit, spoke of lost hopes
So toot what took man choke on it

We be near heaven at a quarter to eleven
By three we are thinking of the love we lost
By four we be high, thinking of the girl lost second
Check the odds, was it worth the cost?

Do you give a toss?
Or are you, looking away?
Wondering why you can't eat?
Why you never sleep?
Drunk all the time?
Cold in the heat?
What you sow man is what you reap

If you've got the money, I think it would be funny
To take your girl and spend a bit of your cash for me
(I've been watching you)
'Cause then she might be happy, no longer lonely
And I could take her out the next day for pretty much free
(I've been watching you)

You were always meant to walk out that job
You keep stopping, should tell your girl more often
That loving is all about doors unlocking
Now you're certain enough near a man free

With a Buddy Holly hiccup on a karaoke
Tweedle on the needle, man you're just for thread
My great granddaddy fought in Gallipoli
He's the only of his friends not shot down dead

Lovers all talk in the spits and tongues
Fight in the playgound, bully each other
Double dare kids up pollute their lungs
Threaten with the rep of their big boy brother

Some of the other stay, give it up and run away
Momma still wants you home for supper
Work all day, little to no pay
Dance up-town right down to the gutter

With the dee-dom dom-dee
Da-da-dee-dom-dom-dee

Move outta' the way man, dom-dee
Da-da-dee-dom-dom-dee
(I've been watching you)

Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money
Ah, she wants money, money, money, money, money

If you've got the money
I think it would be funny
To take your girl and spend a bit of your cash for me
(I've been watching you)
'Cause then she might be happy, no longer lonely
And I could take her out the next day for pretty much free

Said, ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-money, oh
Said, ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-money, oh
Said, ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-money, oh
Said, ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-ma-money, oh

(I've been watching you)

If you've got the money
I think it should be funny, uh-oh
To take your girl and spend a bit of your cash for me
'Cause then she might be happy, no longer lonely, uh-oh
And I could take her out the next day for pretty much free",2007,happy
Worried About Ray,The Hoosiers,"Truth be told, the truth be told
I'm worried about the future holds, the future holds
I'm starting to worry about Ray

Truth be told, the truth be told
I'm worried about the future holds, the future holds
I'm seriously worried about Ray

They say the future's out to get you
You know that I won't let you fall
They say the future's out to get you
You know that I won't let you fall

Truth be told, the truth be told
I'm treading on my tippy toes, my tippy toes
I'm starting to worry about Ray

Truth be told, the truth be told
I'm treading on my tippy toes, my tippy toes
I'm painfully so worried about Ray

They say the future's out to get you
You know that I won't let you fall
They say the future's out to get you
You know that I won't let you fall
No!

They say the future's out to get you
You know that I won't let you fall
They say the future's out to get you
You know that I won't let you fall

The future's out to get you, the future's out to get you, oh
The future's out to get you, the future's out to get you, oh

Truth be told, the truth be told
I'm worried about the future holds, the future holds
I'm so tired of being worried about Ray",2007,happy
Do You Want To,Franz Ferdinand,"When I woke up tonight, I said I'm
Gonna make somebody love me
I'm gonna make somebody love me
And now I know , now I know, now I know
 I know that it's you
You lucky, lucky, You're so lucky!

Well, Do you, do you, do you wanna?
Well, do you, do you, do you wanna?
Wanna go where I've never let you before?

Well, Do you, do you, do you wanna?
Well, do you, do you, do you wanna?
Wanna go where I've never let you before?

Well, he's a friend
And he's so proud of you
He's a friend and I knew him before you, oh yeah

Well, he's a friend
And we're so proud of you
Your famous friend, well, I blew him before you , oh yeah

Well, Do you, do you, do you wanna?
Well, do you, do you, do you wanna?
Wanna go where I've never let you before?

Well here we are at the Transmission Party
I love your friends
They're all so arty, oh yeah

When I woke up tonight, I said I'm
Gonna make somebody love me
I'm gonna make somebody love me
And now I know , now I know, now I know
I know that it's you
You lucky, lucky, You're so lucky!

Well, Do you, do you, do you wanna?
Well, do you, do you, do you wanna?
Wanna go where I've never let you before?

Oh lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Lucky lucky
You're so lucky
Oh lucky lucky
You're so lucky
Yeah",2005,happy
King Of The Rodeo,Kings of Leon,"He's so the purity, a shaven and a mourning,
And standing on a pigeon toe, in his disarray

Straight in the picture pose
He's coming round to meet you

And screaming like a battle cry, it's more if I stay

Me and your cold, driving in the snow,
Let the good times roll let the good times roll,
Cowgirl king of the rodeo let the good times roll,
Let the good times roll

How dare you come to me like Withnail for a favor,
Hold on not my fairy tale you're trying to start

Take off your overcoat you're staying for the weekend,
And swaying like a smokey grey, a drink in the park

Good time to roll on",2005,happy
How Will I Know,Whitney Houston,"There's a boy I know, he's the one I dream of
Looks into my eyes, takes me to the clouds above
Ooh I lose control, can't seem to get enough
When I wake from dreaming, tell me is it really love

How will I know
(Don't trust your feelings)
How will I know
How will I know
(Love can be deceiving)
How will I know

How will I know if he really loves me
I say a prayer with every heart beat
I fall in love whenever we meet
I'm asking you 'cause you know about these things

How will I know if he's thinking of me
I try to phone but I'm too shy (can't speak)
Falling in love is so bitter sweet
This love is strong why do I feel weak

Oh, wake me, I'm shaking, wish I had you near me now
Said there's no mistaking, what I feel is really love

Oh, tell me
How will I know
(Don't trust your feelings)
How will I know
How will I know
(Love can be deceiving)
How will I know

How will I know if he really loves me
I say a prayer with every heart beat
I fall in love whenever we meet
I'm asking you 'cause you know about these things

How will I know if he's thinking of me
I try to phone but I'm too shy (can't speak)
Falling in love is so bitter sweet
This love is strong why do I feel weak

If he loves me, if he loves me not
If he loves me, if he loves me not
If he loves me, if he loves me not

How will I know
How will I know
How will I know
How will I know

How will I know if he really loves me
I say a prayer with every heart beat
I fall in love whenever we meet
I'm asking you 'cause you know about these things

How will I know if he's thinking of me
I try to phone but I'm too shy (can't speak)
Falling in love is so bitter sweet
This love is strong why do I feel weak

How will I know
(How will I know)
How will I know
How will I know
(I say a prayer)
How will I know

How will I know?
(I fall in love)
How will I know
Hey, how will I know?
(I'm asking you)",1985,happy
Material Girl,Madonna,"Some boys kiss me, some boys hug me
I think they're O.K.
If they don't give me proper credit
I just walk away

They can beg and they can plead
But they can't see the light, that's right
'Cause the boy with the cold hard cash
Is always Mister Right, 'cause we are

[Chorus:]
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

Some boys romance, some boys slow dance
That's all right with me
If they can't raise my interest then I
Have to let them be

Some boys try and some boys lie but
I don't let them play
Only boys that save their pennies
Make my rainy day, 'cause they are

[Chorus x2]

Living in a material world (material)
Living in a material world
[repeat]

Boys may come and boys may go
And that's all right you see
Experience has made me rich
And now they're after me, 'cause everybody's

[Chorus x2]

A material, a material, a material, a material world

Living in a material world (material)
Living in a material world
[repeat and fade]",1984,happy
Hot n Cold,Katy Perry,"You change your mind like a girl changes clothes
Yeah, you PMS like a bitch I would know
And you over-think always speak cryptically
I should know that you're no good for me

'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down

You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up

(You) You don't really wanna stay, no
(You) But you don't really wanna go

You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down

We used to be just like twins so in sync
The same energy now's a dead battery
Used to laugh 'bout nothing, now you're plain boring
I should know that you're not gonna change

'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down

You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up

(You) You don't really wanna stay, no
(You) But you don't really wanna go

You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down

Someone call the doctor
Got a case of a love bipolar
Stuck on a roller coaster
Can't get off this ride

You change your mind
Like a girl changes clothes

'Cause you're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down
You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up

You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down

You're wrong when it's right
It's black and it's white
We fight, we break up
We kiss, we make up

(You) You don't really wanna stay, no
(You) But you don't really wanna go

You're hot then you're cold
You're ""Yes"" then you're ""No""
You're in then you're out
You're up then you're down, down",2008,happy
Human,The Killers,"I did my best to notice
When the call came down the line
Up to the platform of surrender
I was brought but I was kind

And sometimes I get nervous
When I see an open door
Close your eyes, clear your heart
Cut the cord

Are we human or are we dancer?
My sign is vital, my hands are cold
And I'm on my knees looking for the answer
Are we human or are we dancer?

Pay my respects to grace and virtue
Send my condolences to good
Hear my regards to soul and romance
They always did the best they could

And so long to devotion
You taught me everything I know
Wave goodbye, wish me well
You've gotta let me go

Are we human or are we dancer?
My sign is vital, my hands are cold
And I'm on my knees looking for the answer
Are we human or are we dancer?

Will your system be alright
When you dream of home tonight
There is no message we're receiving
Let me know, is your heart still beating?

Are we human or are we dancer?
My sign is vital, my hands are cold
And I'm on my knees looking for the answer

You've gotta let me know

Are we human or are we dancer?
My sign is vital, my hands are cold
And I'm on my knees looking for the answer
Are we human or are we dancer?

Are we human or are we dancer?
Are we human or are we dancer?",2008,happy
Waiting on the World to Change,John Mayer,"Me and all my friends
We're all misunderstood
They say we stand for nothing and
There's no way we ever could
Now we see everything that's going wrong
With the world and those who lead it
We just feel like we don't have the means
To rise above and beat it

So we keep waiting (waiting)
Waiting on the world to change
We keep on waiting (waiting)
Waiting on the world to change
It's hard to beat the system
When we're standing at a distance
So we keep waiting (waiting)
Waiting on the world to change

Now if we had the power
To bring our neighbors home from war
They would have never missed a Christmas
No more ribbons on their door
And when you trust your television
What you get is what you got
Cause when they own the information, oh
They can bend it all they want

That's why we're waiting (waiting)
Waiting on the world to change
We keep on waiting (waiting)
Waiting on the world to change
It's not that we don't care
We just know that the fight ain't fair
So we keep on waiting (waiting)
Waiting on the world to change

And we're still waiting (waiting)
Waiting on the world to change
We keep on waiting (waiting)
Waiting on the world to change
One day our generation
Is gonna rule the population
So we keep on waiting (waiting)
Waiting on the world to change
Now we keep on waiting (waiting)
Waiting on the world to change
We keep on waiting (waiting)
Waiting on the world to change
Waiting on the world to change
Waiting on the world to change
Waiting on the world to change",2006,happy
Do It,Nelly Furtado,"You're standing at the door
I'm falling to the floor
You look even better than you did before
I'm staring at my feet
Wondering if I can do this
It's been a while but I couldn't forget you

[BRIDGE:]
Just a little look has got me feeling things
Just a little touch has got me seeing things
Just a little taste has got me off the chains
Doing things that I don't want to

[CHORUS:]
Do it like you do it to me (I'm burning up)
Do it like you do it to me (it's not enough)
Do it like you do it to me just open up
Don't you know how much I want you

We're sitting real close and I can feel your breath
I wanna touch your hand but I lay back
'cause you know this thing could spiral in the night
I've changed my mind I'm ready for you this time

[BRIDGE]
[CHORUS x2]

We're sitting real close I can feel your breath
I wanna touch your hand but I lay back
We're sitting real close I can feel your breath
I wanna touch your hand I cannot fight it off",2006,happy
Drops of Jupiter,Train,"Now that she's back in the atmosphere
With drops of Jupiter in her hair, hey, hey, hey
She acts like summer and walks like rain
Reminds me that there's a time to change, hey, hey, hey
Since the return from her stay on the moon
She listens like spring and she talks like June, hey, hey, hey
Hey, hey, hey

But tell me, did you sail across the sun?
Did you make it to the Milky Way to see the lights all faded
And that heaven is overrated?

Tell me, did you fall for a shooting starâ
One without a permanent scar?
And did you miss me while you were looking for yourself out there?

Now that she's back from that soul vacation
Tracing her way through the constellation, hey, hey, hey (mmm)
She checks out Mozart while she does tae-bo
Reminds me that there's room to grow, hey, hey, hey (yeah)

Now that she's back in the atmosphere
I'm afraid that she might think of me as plain ol' Jane
Told a story about a man who was too afraid to fly so he never did land

But tell me, did the wind sweep you off your feet?
Did you finally get the chance to dance along the light of day
And head back to the Milky Way?

And tell me, did Venus blow your mind?
Was it everything you wanted to find?
And did you miss me while you were looking for yourself out there?

Can you imagine no love, pride, deep-fried chicken?
Your best friend always sticking up for you even when I know you're wrong
Can you imagine no first dance, freeze dried romance, five-hour phone conversation?
The best soy latte that you ever had and me

But tell me, did the wind sweep you off your feet?
Did you finally get the chance to dance along the light of day
And head back toward the Milky Way?

And tell me, did you sail across the sun?
Did you make it to the Milky Way to see the lights all faded
And that heaven is overrated?

And tell me, did you fall for a shooting star
One without a permanent scar?
And did you miss me while you were looking for yourself?

Na, na, na, na, na, na, na, na, na, na, na

And did you finally get the chance to dance along the light of day?
Na na na na na na na na na na na na na na
And did you fall for a shooting star, fall for a shooting star?
Na na na na na na na na na na na na na na
And now you're lonely looking for yourself out there",2001,happy
One Way or Another,Blondie,"One way or another I'm gonna find ya
I'm gonna getcha getcha getcha getcha
One way or another I'm gonna win ya
I'm gonna getcha getcha getcha getcha
One way or another I'm gonna see ya
I'm gonna meetcha meetcha meetcha meetcha
One day, maybe next week
I'm gonna meetcha, I'm gonna meetcha, I'll meetcha
I will drive past your house
And if the lights are all down
I'll see who's around

One way or another I'm gonna find ya
I'm gonna getcha getcha getcha getcha
One way or another I'm gonna win ya
I'll getcha, I'll getcha
One way or another I'm gonna see ya
I'm gonna meetcha meetcha meetcha meetcha
One day, maybe next week
I'm gonna meetcha, I'll meetcha

And if the lights are all out
I'll follow your bus downtown
See who's hanging out

One way or another I'm gonna lose ya
I'm gonna give you the slip, a slip of the hip or another
I'm gonna lose ya, I'm gonna trick ya, I'll trick ya
One way or another I'm gonna lose ya
I'm gonna trick ya trick ya trick ya trick ya
One way or another I'm gonna lose ya
I'm gonna give you the slip

I'll walk down the mall
Stand over by the wall
Where I can see it all
Find out who ya call
Lead you to the supermarket checkout
Some specials and rat food, get lost in the crowd

One way or another I'm gonna getcha, I'll getcha, I'll getcha getcha getcha getcha
(Where I can see it all, find out who ya call)
One way or another I'm gonna getcha, I'll getcha, I'll getcha getcha getcha getcha
(Where I can see it all, find out who ya call)
One way or another I'm gonna getcha, I'll getcha, I'll getcha getcha getcha getcha
(Where I can see it all, find out who ya call)
[repeat until fade]",1978,happy
Know Your Onion!,The Shins,"Shut out, pimpled and angry.
I quietly tied all my guts into knots.
Gave up on trying to make them,
I figured it'd take them too long to look up and besides...

It was undeniably clear to me i don't know why
When every other part of life seemed locked behind shutters
I knew what worthless dregs we've always been.

Lucked out and found my favorite records
Lying in wait at the birmingham mall.
The songs that i heard,
The occasional book
Were the only fun i ever took.
And i got on with making myself.
The trick is just making yourself.

But when they're parking their cars on your chest
You've still got a view of the summer sky
To make it hurt twice when your restless body
Caves to its whims
And suddenly struggles to take flight...

Three thousand miles north east
I left all my friends at the morning bus stop shaking their heads.
""what kind of life you dream of? you're allergic to love.""
Yes i know but i must say in my own defense
It's been undeniably dear to me, i don't know why
When every other part of life seemed locked behind shutters
I knew the worthless dregs we are,
The selfless, loving saints we are,
The melting, sliding dice we've always been.",2001,happy
Pink,Aerosmith,"Pink it's my new obsession 
Pink it's not even a question, 
Pink on the lips of your lover, 'cause 
Pink is the love you discover 

Pink as the bing on your cherry 
Pink 'cause you are so very 
Pink it's the color of passion 
'Cause today it just goes with the fashion 

Pink it was love at first sight 
Pink when I turn out the light, and 
Pink gets me high as a kite 
And I think everything is going to be all right 
No matter what we do tonight 

You could be my flamingo 
'Coz pink is the new kinda lingo 
Pink like a deco umbrella 
It's kink - but you don't ever tell her 

Pink it was love at first sight, and 
Pink when I turn out the light 
Pink gets me high as a kite 
And I think everything is going to be all right 
No matter what we do tonight 

I want to be your lover 
I wanna wrap you in rubber 
As pink as the sheets that we lay on 
Pink it's my favorite crayon, yeah 

Pink it was love at first sight 
Pink when I turn out the light 
Pink it's like red but not quite 
And I think everything is going to be all right 
No matter what we do tonight",1997,happy
It's the End of the World as We Know It (and I Feel Fine),R.E.M.,"That's great! It starts with an earthquake,
Birds and snakes, an aeroplane;
and Lenny Bruce is not afraid.

Eye of a hurricane, listen to yourself churn.
World serves its own needs, don't mis-serve your own needs.
Speed it up a notch, speed, grunt, no strength.
The ladder starts to clatter with fear of height, down height.
Wire in a fire, represent the seven games
In a government for hire and a combat site.
Left her, wasn't coming in a hurry
With the furies breathing down your neck.

Team by team reporters baffled, trump, tethered crop.
Look at that low plane! Fine, then.
Uh oh, overflow, population, Common Food,
But it'll do. Save yourself, serve yourself.
World serves its own needs, listen to your heart bleed.
Tell me with the rapture and the reverent in the right, right.
You vitriolic, patriotic, slam, fight, bright light;
Feeling pretty psyched.

It's the end of the world as we know it.
It's the end of the world as we know it.
It's the end of the world as we know it, and I feel fine.

Six o'clock. TV hour.
Don't get caught in foreign tower.
Slash and burn, return,
Listen to yourself churn.
Lock him in uniform and book burning, bloodletting.
Every motive escalate. Automotive incinerate.
Light a candle, light a votive.
Step down, step down.
Watch a heel crush, crush.
Uh oh, this means no fear; cavalier.
Renegade and steer clear!
A tournament, a tournament,
A tournament of lies.
Offer me solutions, offer me alternatives
And I decline.

It's the end of the world as we know it
It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)
I feel fine

It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)

The other night I tripped a nice
Continental drift divide.
Mountains sit in a line.
Leonard Bernstein, Leonid Brezhnev,
Lenny Bruce, and Lester Bangs
Birthday party, cheesecake, jelly beans, boom!
You symbiotic, patriotic, slam, but neck, right? (Right!)

It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)

It's the end of the world as we know it
It's the end of the world as we know it
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)

It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)

It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it (It's time I had some time alone)
It's the end of the world as we know it, and I feel fine (It's time I had some time alone)",1987,happy
Hum Hallelujah,Fall Out Boy,"It's all a game of this or that, now versus then
better off against worse for wear
And you're someone who knows someone who knows someone I once knew
And I just want to be a part of this

The road outside my house is paved with good intentions
Hired a construction crew, 'cause it's hell on the engine 
You are the dreamer and we are the dream.
I could write it better than you ever felt it.

So hum hallelujah,
Just off the key of reason
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too

My words are my faith to hell with our good name.
A remix of your guts-your insides X-rayed
And one day we'll get nostalgic for disaster
we're a bull, your ears are just a china shop

I love you in the same way, there's a chapel in a hospital
One foot in your bedroom and one foot out the door
Sometimes we take chances, sometimes we take pills.
I could write it better than you ever felt it. 

So hum hallelujah,
Just off the key of reason
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too

Hallelujah, hallelujah, hallelujah, hallelu...
Hallelujah, hallelujah, hallelujah, hallelu... 
(Hum hallelujah (Hum hallelujah), hum hallelujah (Hum hallelujah))

A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too

So hum hallelujah,
Just off the key of reason
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot (Hum hallelujah)
""Till tonight do us part""
Love in a parking lot (Hum hallelujah)
""Till tonight do us part""
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too",2007,happy
