song,artist,url,lyrics,year,mood
1985,Bowling for Soup,https://www.azlyrics.com/lyrics/bowlingforsoup/1985.html,"Debbie just hit the wall
She never had it all
One Prozac a day
Husband's a CPA
Her dreams went out the door
When she turned twenty four
Only been with one man
What happened to her plan?

She was gonna be an actress
She was gonna be a star
She was gonna shake her ass
On the hood of Whitesnake's car
Her yellow SUV is now the enemy
Looks at her average life
And nothing has been alright

since Bruce Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she's uncool
'Cause she's still preoccupied
With 19, 19, 1985

1985

She's seen all the classics
She knows every line
Breakfast Club, Pretty in Pink
Even Saint Elmo's Fire
She rocked out to Wham
Not a big Limp Bizkit fan
Thought she'd get a hand
On a member of Duran Duran

Where's the mini-skirt made of snake skin
And who's the other guy that's singing in Van Halen
When did reality become T.V.
Whatever happened to sitcoms, game shows
(on the radio was)

Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she's uncool
'Cause she's still preoccupied
With 19, 19, 1985

She hates time make it stop
When did MÃ¶tley CrÃ¼e become classic rock?
And when did Ozzy become an actor?
Please make this stop, stop, stop!
And bring back

Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she's uncool
'Cause she's still preoccupied
With 1985

Bruce Springsteen, Madonna
Way before Nirvana
There was U2 and Blondie
And music still on MTV
Her two kids in high school
They tell her that she's uncool
'Cause she's still preoccupied
With 19, 19, 1985",2004,happy
You Give Me Something,James Morrison,https://www.azlyrics.com/lyrics/jamesmorrison/yougivemesomething.html,"You only stay with me in the morning
You only hold me when I sleep
I was meant to tread the water
But now I've gotten in too deep

For every piece of me that wants you
Another piece backs away

You give me something
That makes me scared alright
This could be nothing 
But I'm willing to give it a try
Please give me something
Because someday I might know my heart

You only waited up for hours
Just to spend a little time alone with me
And I can say I've never bought you flowers
I can't work out what they mean

I never thought that I'd love someone
That was someone else's dream

You give me something
That makes me scared alright
This could be nothing 
But I'm willing to give it a try
Please give me something
Because someday I might call you from my heart

But it might be a second too late
And the words that I could never say
Are gonna come out anyway

You give me something
That makes me scared alright
This could be nothing 
But I'm willing to give it a try
Please give me something

You give me something
That makes me scared alright
This could be nothing 
But I'm willing to give it a try
Please give me something
Because someday I might know my heart

Know my heart, know my heart, know my heart",2006,happy
Lookin' Out My Back Door,Creedence Clearwater Revival,https://www.azlyrics.com/lyrics/creedenceclearwaterrevival/lookinoutmybackdoor.html,"Just got home from Illinois, lock the front door, oh boy!
Got to sit down, take a rest on the porch.
Imagination sets in, pretty soon I'm singin',

[CHORUS:]
Doo, doo, doo, Lookin' out my back door.

There's a giant doing cartwheels, a statue wearin' high heels.
Look at all the happy creatures dancing on the lawn.
A dinosaur Victrola list'ning to Buck Owens.

[CHORUS]

Tambourines and elephants are playing in the band.
Won't you take a ride on the flyin' spoon?
Doo, doo doo.
Wond'rous apparition provided by magician.

[CHORUS]

Tambourines and elephants are playing in the band.
Won't you take a ride on the flyin' spoon?
Doo, doo doo.
Bother me tomorrow, today, I'll buy no sorrows.

[CHORUS]

Forward troubles Illinois, lock the front door, oh boy!
Look at all the happy creatures dancing on the lawn.
Bother me tomorrow, today, I'll buy no sorrows.

[CHORUS]",1970,happy
Lucy in the Sky with Diamonds,The Beatles,https://www.azlyrics.com/lyrics/beatles/lucyintheskywithdiamonds.html,"Picture yourself in a boat on a river
With tangerine trees and marmalade skies
Somebody calls you, you answer quite slowly
A girl with kaleidoscope eyes

Cellophane flowers of yellow and green
Towering over your head
Look for the girl with the sun in her eyes
And she's gone

Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Aaaaahhhhh...

Follow her down to a bridge by a fountain
Where rocking horse people eat marshmallow pies
Everyone smiles as you drift past the flowers
That grow so incredibly high

Newspaper taxis appear on the shore
Waiting to take you away
Climb in the back with your head in the clouds
And you're gone

Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Aaaaahhhhh...

Picture yourself on a train in a station
With plasticine porters with looking glass ties
Suddenly someone is there at the turnstile
The girl with the kaleidoscope eyes

Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Aaaaahhhhh...
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Aaaaahhhhh...
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds [fade out]",1967,happy
All My Loving,The Beatles,https://www.azlyrics.com/lyrics/beatles/allmyloving.html,"Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

I'll pretend that I'm kissing
The lips I am missing
And hope that my dreams will come true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving I will send to you
All my loving, darling I'll be true

Close your eyes and I'll kiss you
Tomorrow I'll miss you
Remember I'll always be true
And then while I'm away
I'll write home every day
And I'll send all my loving to you

All my loving I will send to you
All my loving, darling I'll be true
All my loving, all my loving ooh
All my loving I will send to you",1963,happy
Drive My Car,The Beatles,https://www.azlyrics.com/lyrics/beatles/drivemycar.html,"Asked a girl what she wanted to be
She said baby, ""Can't you see
I wanna be famous, a star of the screen
But you can do something in between""

Baby you can drive my car
Yes I'm gonna be a star
Baby you can drive my car
And maybe I'll love you

I told the girl that my prospects were good
She said baby, ""It's understood
Working for peanuts is all very fine
But I can show you a better time""

Baby you can drive my car
Yes I'm gonna be a star
Baby you can drive my car
And maybe I'll love you
Beep beep mm, beep beep yeah

Baby you can drive my car
Yes I'm gonna be a star
Baby you can drive my car
And maybe I'll love you

I told that girl I can start right away
And she said, ""Listen baby I've got something to say
I got no car and it's breaking my heart
But I've found a driver and that's a start""

Baby you can drive my car
Yes I'm gonna be a star
Baby you can drive my car
And maybe I'll love you
Beep beep mm beep beep yeah
Beep beep mm beep beep yeah
Beep beep mm beep beep yeah
Beep beep mm beep beep yeah (fade out)",1965,happy
More Than a Feeling,Boston,https://www.azlyrics.com/lyrics/boston/morethanafeeling.html,"I looked out this morning and the sun was gone
Turned on some music to start my day
I lost myself in a familiar song
I closed my eyes and I slipped away

It's more than a feeling
(more than a feeling)
When I hear that old song they used to play
(more than a feeling)
And I begin dreaming
(more than a feeling)
'Til I see Marianne walk away
I see my Marianne walkin' away

So many people have come and gone
Their faces fade as the years go by
Yet I still recall as I wander on
As clear as the sun in the summer sky

It's more than a feeling
(more than a feeling)
When I hear that old song they used to play
(more than a feeling)
And I begin dreaming
(more than a feeling)
'Til I see Marianne walk away
I see my Marianne walkin' away

When I'm tired and thinking cold
I hide in my music, forget the day
And dream of a girl I used to know
I closed my eyes and she slipped away
She slipped away

It's more than a feeling
(more than a feeling)
When I hear that old song they used to play
(more than a feeling)
And I begin dreaming
(more than a feeling)
'Til I see Marianne walk away",1976,happy
Be OK,Ingrid Michaelson,https://www.azlyrics.com/lyrics/ingridmichaelson/beok.html,"I just want to be ok, be ok, be ok
I just want to be ok today
I just want to be ok, be ok, be ok
I just want to be ok today

I just want to feel today, feel today, feel today
I just want to feel something today
I just want to feel today, feel today, feel today
I just want to feel something today

[CHORUS:]
Open me up and you will see
I'm a gallery of broken hearts
I'm beyond repair, let me be
And give me back my broken parts

I just want to know today, know today, know today
I just want to know something today
I just want to know today, know today, know today
Know that maybe I will be ok

[CHORUS]

Just give me back my pieces
Just give them back to me please
Just give me back my pieces
And let me hold my broken parts

I just want to be ok, be ok, be ok
I just want to be ok today
I just want to be ok, be ok, be ok
I just want to be ok today

I just want to feel today, feel today, feel today
I just want to feel something today
I just want to know today, know today, know today
Know that maybe I will be ok
Know that maybe I will be ok
Know that maybe I will be ok",2008,happy
You Really Got Me,The Kinks,https://www.azlyrics.com/lyrics/kinks/youreallygotme.html,"Girl, you really got me goin'
You got me so I don't know what I'm doin'
Yeah, you really got me now
You got me so I can't sleep at night

Yeah, you really got me now
You got me so I don't know what I'm doin', now
Oh yeah, you really got me now
You got me so I can't sleep at night

You Really Got Me
You Really Got Me
You Really Got Me

See, don't ever set me free
I always wanna be by your side
Girl, you really got me now
You got me so I can't sleep at night

Yeah, you really got me now
You got me so I don't know what I'm doin', now
Oh yeah, you really got me now
You got me so I can't sleep at night

You Really Got Me
You Really Got Me
You Really Got Me
Oh no...

[Solo]

See, don't ever set me free
I always wanna be by your side
Girl, you really got me now
You got me so I can't sleep at night

Yeah, you really got me now
You got me so I don't know what I'm doin', now
Oh yeah, you really got me now
You got me so I can't sleep at night

You Really Got Me
You Really Got Me
You Really Got Me",1964,happy
I Say a Little Prayer,Aretha Franklin,https://www.azlyrics.com/lyrics/arethafranklin/isayalittleprayer.html,"The moment I wake up
Before I put on my makeup
I say a little prayer for you
While combing my hair now
And wondering what dress to wear now
I say a little prayer for you

Forever and ever, you'll stay in my heart
And I will love you
Forever and ever, we never will part
Oh, how I love you
Together, forever, that's how it must be
To live without you
Would only mean heartbreak for me

I run for the bus, dear
While riding I think of us, dear
I say a little prayer for you
At work I just take time
And all through my coffee break time
I say a little prayer for you

Forever and ever, you'll stay in my heart
And I will love you
Forever and ever we never will part
Oh, how I'll love you
Together, forever, that's how it must be
To live without you
Would only mean heartbreak for me

I say a little prayer for you
I say a little prayer for you

My darling, believe me
(Believe me)
For me there is no one but you
Please love me too
(Answer my prayer)
And I'm in love with you
(Answer my prayer)
Answer my prayer now, babe
(Answer my prayer)

Forever and ever, you'll stay in my heart
And I will love you
Forever and ever we never will part
Oh, how I'll love you
Together, forever, that's how it must be
To live without you
Would only mean heartbreak for me",1968,happy
The Car Song,The Cat Empire,https://www.azlyrics.com/lyrics/catempire/thecarsong.html,"The weekend is the weekend
And it's sunny in the park
I'll stay here with my beer and fish and chips till it gets dark
I've got a lot of homework
But homework he can wait
I never start my homework till its already too late
My parents say think about your future and my teachers say the same
But it's hard
When there's a basketball game in the park
It's 1998 
And everybody's saying:
""Harry, you're going to be a lawyer some dayÂ""

It's Monday bloody Monday
And there's two things I forgot
I forgot to do my homework
And I've only got one sock
I'm halfway through a test
But I just can't concentrate
I'm sitting next to Fontaine
I want to ask her on a date
I really want to start a conversation
But each time she walks past
I start choking on my pencil
And fall flat on my ass
I need to concentrate
I have to get this grade
Or I might fail to be a lawyer someday

[BRIDGE]
But just right now
Can' think of anything better to do
Than just sit down at the piano and a write this tune
And maybe later 
Maybe later in the afternoon
I'll sit back and relax 
And think of all the things I'm going to doÂ

[CHORUS]
SomedayÂ
I'll buy an old car
SomedayÂ
I'll get that car to start
SomedayÂ
I'll learn how to drive too
And then SomedayÂ
Imagine all the things I could do.

(That was 1998 now
Bring it forward to the present day now
Cause some things have changed
but some things never change)

The weekend is the weekend 
And it's sunny in the park
I'll stay here with my beer and fish 'n' chips till it gets dark
I just saw Peter Parsons
Who used to be in my class
I always gave him wedgies cause I thought he worked too hard
He said, ""Harry, life is great""
I feel so happy these days
I'm a litigation lawyer
So I got it made
I'm going out with Fontaine 
Rememer her from tenth grade?
I drive a Porsche so I can't complainÂ

[BRIDGE]
Shit! And look at me can't think of anything better to do
That just sit down at the piano and write this tune
And maybe later
Maybe later in the afternoon
I'll sit back and relax and think of all the things I'm going to doÂ

[CHORUS]",2005,happy
Brimful Of Asha,Cornershop,https://www.azlyrics.com/lyrics/cornershop/brimfulofasha.html,"Mai Keha Sadi Asha Jhinah Sadian Sukh Sabelian Nu Din Raat Nu Aoondian Hain, Kimarh Karke

There's dancing, behind movie scenes
Behind the movie scenes - Sadi Rani
She's the one that keeps the dream alive
From the morning, past the evening
Till the end of the light

Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five
Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five

And singing, behind movie scenes
Behind those movie screens - Asha Bhosle
She's the one that keeps the dream alive
From the morning, past the evening
Till the end of the light

Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five
Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five

And singing, illuminate the main streets and the cinema aisles
We don't care about no government warning
About that promotion of the simple life
And the dams they're building

Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five
Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five

Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Mine's on the forty-five

Mohammed Rafi (forty-five)
Lata Mangeshka (forty-five)
Solid state radio (forty-five)
Ferguson mono (forty-five)
Bon public (forty-five)
Jacques Dutronc and the Bolan Boogies
The Heavy Hitters and the chi chi music
All India radio (forty-five)
Two in ones (forty-five)
Argo records (forty-five)
Trojan records (forty-five)

Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five
Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five

Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Mine's on the forty-five

77,000 piece orchestra set
Everybody needs a bosom for a pillow, mine's on the RPM

Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five
Brimful of Asha on the forty-five
Well, it's a brimful of Asha on the forty-five

Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Everybody needs a bosom for a pillow
Everybody needs a bosom
Mine's on the forty-five",,happy
If Looks Could Kill,Camera Obscura,https://www.azlyrics.com/lyrics/cameraobscura/iflookscouldkill.html,"Tell me where it all went wrong 
Maybe I can make it better 
Tell me where it all went wrong 
Don't you know that you really upset her 
When you act like a man who is cross with every woman he's never had 
If it's true looks could kill and you will be the first to make me mad 
Then you'll have to go 
Maybe you'll have to go

Is this the kind of fate you could contemplate 
A breakdown at my very sight 
I promise hidden words of tenderness in every single line that I write 
Still you act like a man who is cross with every woman he's never had 
If it's true looks could kill and you will be the first to make me mad 
Then you'll have to go 
Maybe you'll have to go 

Tell me where it all went wrong
Tell me where it all went wrong
Tell me where it all went wrong
Tell me where it all went wrong

Don't you know that you really upset her 
When you act like a man who is cross with every woman he's never had 
If it's true looks could kill and you will be the first to make me mad 
Then you'll have to go 
Maybe you'll have to go

Is it true looks could kill?
Is it true looks could kill?
Is it true looks could kill?
Yeah it's true looks could kill",2006,happy
Clocks,Coldplay,https://www.azlyrics.com/lyrics/coldplay/clocks.html,"The lights go out and I can't be saved
Tides that I tried to swim against
Have brought me down upon my knees
Oh I beg, I beg and plead, singing

Come out of things unsaid
Shoot an apple off my head and a
Trouble that can't be named
A tiger's waiting to be tamed, singing

You are
You are

Confusion never stops
Closing walls and ticking clocks 
Gonna come back and take you home
I could not stop that you now know, singing

Come out upon my seas
Cursed missed opportunities 
Am I a part of the cure?
Or am I part of the disease? Singing

You are, you are, you are 
You are, you are, you are

And nothing else compares
Oh nothing else compares
And nothing else compares

You are 
You are

Home, home where I wanted to go 
Home, home where I wanted to go
Home, home where I wanted to go
Home, home where I wanted to go",2002,happy
This Modern Love,Bloc Party,https://www.azlyrics.com/lyrics/blocparty/thismodernlove.html,"To be lost in the forest
To be cut adrift
You've been trying to reach me
You bought me a book
To be lost in the forest
To be cut adrift
I've been paid
I've been paid

Don't get offended
If I seem absent minded
Just keep telling me facts
And keep making me smile
Don't get offended
If I seem absent minded
I get tongue-tied
Baby, you've got to be more discerning
I've never known what's good for me
Baby, you've got to be more demanding
I will be yours

I'll pay for you anytime

You told me you wanted to eat up my sadness
Well jump on, enjoy, you can gorge away
You told me you wanted to eat up my sadness
Jump right
Baby, you've got to be more discerning
I've never known what's good for me
Baby, you've got to be more demanding
Jump left

What are you holding out for?
What's always in the way?
Why so damn absent-minded?
Why so scared of romance?

This modern love breaks me
This modern love wastes me

Do you wanna come over and kill some time?
Tell me facts, tell me facts, tell me facts
Tell me facts
Throw your arms around me
Do you wanna come over and kill some time? [x3]
Throw your arms around me.",2005,happy
I'm Shakin',Rooney,https://www.azlyrics.com/lyrics/rooney/imshakin.html,"I've forgotten what it feels like to feel normal
To be normal
I've forgotten what food tastes like
The way it tastes right
The taste buds taste right
I wake up in so much spit and sweat, it is not normal
What is normal?

I go to bed
When I wake up
After cleaning all
All the spit and sweat

I'm sha sha shakin, sha shakin'
I'm sha sha shakin, I'm shakin' now

I tossed and turned all night
'cause I was looking for an ending
This was so because I watched all day
The neverending story with atreyu

The next day came but not a beam of light
Because the blinds were shut
Sha sha sha shut so tight

I fell out of bed laced with spit and sweat
It made me very cold
It made me
Sha sha shakin', sha shakin'
I'm sah sha shakin', I'm shakin' now

I'm supposed to feel better
this nightmare is supposed to end
I am holding on, I am holding on, 
I am holding on, I am holding on, 
I'm sha sha shakin', sha shakin'
I'm sha sha shakin', I'm shakin' now",2003,happy
Feel Good Inc.,Gorillaz,https://www.azlyrics.com/lyrics/gorillaz/feelgoodinc.html,"Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha.
Feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.

Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.

(change) shake it (change), shake it (change), shake it (change), feel good.
(change) shake it (change), shake it (change), shake it (change), feel good.

City's breaking down on a camel's back.
They just have to go 'cause they don't know wack.
So while you fill the streets, it's appealing to see.
You won't get out the county 'cause you're damned and free.

You've got a new horizon. It's ephemeral style.
A melancholy town where we never smile.
And all I wanna hear is the message beep.
My dreams, they've gotta kiss me
'Cause I don't get to sleep, no.

Windmill, windmill for the land.
Turn forever hand in hand.
Take it all in on your stride.
It is ticking, falling down.

Love forever. Love is free.
Let's turn forever, you and me.
Windmill, windmill for the land.
Is everybody in?

Laughing gas these hazmats, fast cats.
Lining them up like ass cracks.
Lay these ponies at the track.
It's my chocolate attack.

Shit, I'm stepping in the heart of this here.
Care Bear reppin' it harder this year.
Watch me as I gravitate.
Ha-ha-ha-ha-ha-ha.

Yo, we gon' ghost town,
This Motown.
With your sound
You're in the blink.
Gon' bite the dust.
Can't fight with us.
With your sound
You kill the Inc.

So don't stop, get it, get it, get it
Until you're cheddar head.
And watch the way I navigate.
Ha-ha-ha-ha-ha.

Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.

Windmill, windmill for the land.
Turn forever hand in hand.
Take it all in on your stride.
It is ticking, falling down.

Love forever. Love is free.
Let's turn forever, you and me.
Windmill, windmill for the land.
Is everybody in?

Don't stop, shit it, get it.
Peep how your captain's in it.
Steady, watch me navigate.
Aha-ha-ha-ha-ha.

Don't stop, shit it, get it.
Peep how your captain's in it.
Steady, watch me navigate.
Aha-ha-ha-ha-ha.

Feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.
Shake it, shake it, shake it, feel good.",2005,happy
Bulletproof,La Roux,https://www.azlyrics.com/lyrics/laroux/bulletproof.html,"Been there, done that, messed around
I'm having fun, don't put me down
I'll never let you sweep me off my feet
I won't let you in again
The messages I've tried to send
My information's just not going in

I'm burning bridges shore to shore
I break away from something more
I'm not turned off to love until it's cheap
Been there, done that, messed around
I'm having fun, don't put me down
I'll never let you sweep me off my feet

This time baby,
I'll be bulletproof
This time baby,
I'll be bulletproof

I won't let you turn around
And tell me now I'm much too proud
To walk away from something when it's dead
Do, do, do your dirty words
Come out to play when you are hurt
There are certain things that should be left unsaid

Tick, tick, tick, tick on the watch
And life's too short for me to stop
Oh, baby, your time is running out
I won't let you turn around
And tell me now I'm much too proud
All you do is fill me up with doubt

This time baby,
I'll be bulletproof
This time baby,
I'll be bulletproof [2x]

This time...I'll be...bulletproof [2x]

This time baby,
I'll be bulletproof
This time baby,
I'll be bulletproof [2x]",2009,happy
Louie Louie,The Kingsmen,https://www.azlyrics.com/lyrics/kingsmen/louielouie.html,"Louie, Louie, oh no, I said we gotta go
Yeah yeah yeah yeah yeah I said
Louie, Louie, oh baby, I said we gotta go

A fine little girl, she waits for me
Me catch a ship across the sea
Me sail that ship all alone
Me never think how I'll make it home

Louie, Louie, no, no, no, no, no, I said we gotta go
Oh no, I said
Louie, Louie, oh baby, I said we gotta go

Three nights and days I sail the sea
I think of girl constantly
On that ship, I dream she there
I smell the rose in her hair

Louie, Louie, oh no, I said we gotta go
Yeah, yeah, yeah, yeah I said 
Louie, Louie, oh baby, I said we gotta go

Okay, let's give it to 'em, right now! 

Me see
Me see Jamaican moon above
It won't be long me see me love
Me take her in my arms and then
I tell her I'll never leave again

Louie, Louie, oh no, I said we gotta go
Yeah, yeah, yeah, yeah I said
Louie, Louie, oh baby, I said we gotta go

I said we gotta go now

Let's get on outta here

Let's go!",,happy
Groove Is in the Heart,Deee-Lite,https://www.azlyrics.com/lyrics/deeelite/grooveisintheheart.html,"(We're going to dance and have some fun)
(Dig!)

The chills that you spill up my back keep me filled
With satisfaction when we're done
Satisfaction of what's to come
I couldn't ask for another
No, I couldn't ask for another (You know that's right)
Your groove I do deeply dig
No walls, only the bridge
My supper dish, my succotash wish (Sing it, baby)
I couldn't ask for another (Uh huh, uh huh)
No, I couldn't ask for another

Groove is in the heart
Groove is in the heart
Groove is in the heart
Groove is in the heart
(Watch out)

The depth of hula groove
Moves into the tenth hoop
We're gonna groove to Horton Hears a Who-who
I couldn't ask for another
No, I couldn't ask for another
DJ Soul was on a roll
I've been told he can't be sold
He's not vicious or malicious
Just de-lovely and delicious
I couldn't ask for another

Unh, some looks in this torso
Hot, got a deal, you wanna know?
The live of truely delightful
Makin' it, doin' it, 'specially at a show
Feelin' kinda high like a Hendrix haze
Music makes motion, moves like a maze
All inside of me, heart especially
Note of the rhythm, where I wanna be
Flowin', glowin', electric eyes
You dip to the dive, baby yo, realize
When will you see the funky side of me?
Baby, you'll see that rhythm is the key
Get, get, wit' it, wit' it
Can't think, quit it, quit it
Stomp on the streets when I hear a funk beat
Playin' pop like follow hoods true
Baby, just sing about the groove
(Sing it)

Groove is in the heart
Groove is in the heart
Groove is in the heart
Groove is in the heart
(One, two, three)

Blow them horns along
(The groove is in your heart)

Groove is in the heart
Groove is in the heart
Groove is in the heart
Groove is in the heart",,happy
The Rock Show,blink-182,https://www.azlyrics.com/lyrics/blink182/therockshow.html,"Hanging out behind the club on the weekend
Acting stupid, getting drunk with my best friends
I couldn't wait for the summer and the Warped Tour
I remember it's the first time that I saw her there

She's getting kicked out of school 'cause she's failing
I'm kinda nervous, 'cause I think all her friends hate me
She's the one, she'll always be there
She took my hand and I made it I swear

Because I fell in love with the girl at the rock show
She said, ""What?"" and I told her that I didn't know
She's so cool, gonna sneak in through her window
Everything's better when she's around
I can't wait 'til her parents go out of town
I fell in love with the girl at the rock show

When we said we were gonna move to Vegas
I remember the look her mother gave us
Seventeen without a purpose or direction
We don't owe anyone a fucking explanation

I fell in love with the girl at the rock show
She said, ""What?"" and I told her that I didn't know
She's so cool, gonna sneak in through her window
Everything's better when she's around
I can't wait 'til her parents go out of town
I fell in love with the girl at the rock show

Black and white picture of her on my wall
I waited for her call, she always kept me waiting
And if I ever got another chance I'd still ask her to dance
Because she kept me waiting

I fell in love with the girl at the rock show
She said, ""What?"" and I told her that I didn't know
She's so cool, gonna sneak in through her window
Everything's better when she's around
I can't wait 'til her parents go out of town
I fell in love with the girl at the rock show

With the girl at the rock show
With the girl at the rock show
(I'll never forget tonight)
With the girl at the rock show",2001,happy
You're the Only One,Maria Mena,https://www.azlyrics.com/lyrics/mariamena/youretheonlyone.html,"Well I saw you with your hands above your head
Spinning around, trying not to look down
But you did, and you fell, hard on the ground
Then you stumbled around for a good ten minutes
And I said I'd never seen anyone look so dumb before
And you laughed and said I still know how to turn you on though

You're the only one who
Drags me kicking and screaming through fast dreams
You're the only one who
Knows exactly what I mean

And I probably forgot to tell you this
Like that time when I forgot to tell you about the scar
Remember how uncomfortable that made you feel?
See you're not what I expected
But you're the only one who knows how to handle me
And you're such a great kisser and I know that you agree

You're the only one who
Drags me kicking and screaming through fast dreams
You're the only one who
Knows exactly what I mean

I hope you can forgive me for that time
When I put my hand between your legs
And said it was small
Cuz its really not at all
I guess there's just a part of me that likes to bring you down
Just to keep you around
Cuz the day that you realize how amazing you are 
You're gonna leave me

You're the only one who
Holds my hair back when I'm drunk and get sick
You're the only one who
Knows exactly what I mean

You're the only one who
Drags me kicking and screaming through fast dreams
You're the only one who
Knows exactly what I mean

Exactly what I mean

Well I saw you with your hands above your head
Spinning around, trying not to look down
But you did, and you fell, hard on the ground",2004,happy
Superman,Goldfinger,https://www.azlyrics.com/lyrics/goldfinger/superman.html,"So here I am
doing everything I can
holding on to what I am
pretending I'm a superman

I'm trying to keep
the ground on my feet
it seems the world's
falling down around me

The nights are all long
I'm singing this song
to try and make the answers
more than maybe

And I'm so confused
about what to do
sometimes I want 
to throw it all away

So here I am
growing older all the time
looking older all the time
feeling younger in my mind

And here I am
doing everything I can
holding on to what I am
pretending I'm a superman

I'm trying to sleep
I lost count of the sheep
my mind is racing faster 
every minute

What could I do more
yeah I'm really not sure
I know I'm running circles
but I can't quit

And I'm so confused
about what to do
sometimes I want 
to throw it all away

Controlling everything in site
I'm feeling weak
I don't feel right
you're telling me 
I have to change
telling me to act my age
but if all that I can do
is just sit and watch time go
then I'll have to say good-bye
life's too short to watch it fly
to watch it fly

So here I am
growing older all the time
looking older all the time
feeling younger in my mind

And here I am
doing everything I can
holding on to what I am
pretending I'm a superman",1997,happy
Hand in My Pocket,Alanis Morissette,https://www.azlyrics.com/lyrics/alanismorissette/handinmypocket.html,"I'm broke but I'm happy
I'm poor but I'm kind
I'm short but I'm healthy, yeah
I'm high but I'm grounded
I'm sane but I'm overwhelmed
I'm lost but I'm hopeful, baby

And what it all comes down to
Is that everything's gonna be fine, fine, fine
'Cause I've got one hand in my pocket
And the other one is giving a high five

I feel drunk but I'm sober
I'm young and I'm underpaid
I'm tired but I'm working, yeah
I care but I'm restless
I'm here but I'm really gone
I'm wrong and I'm sorry baby

And what it all comes down to
Is that everything's gonna be quite alright
'Cause I've got one hand in my pocket
And the other one is flicking a cigarette

And what it all comes down to
Is that I haven't got it all figured out just yet
'Cause I've got one hand in my pocket
And the other one is giving a peace sign

I'm free but I'm focused
I'm green but I'm wise
I'm hard but I'm friendly, baby
I'm sad but I'm laughing
I'm brave but I'm chickenshit
I'm sick but I'm pretty, baby

And what it all boils down to
Is that no one's really got it figured out just yet
But I've got one hand in my pocket
And the other one is playing a piano

And what it all comes down to, my friends, yeah
Is that everything is just fine, fine, fine
'Cause I've got one hand in my pocket
And the other one is hailing a taxi cab",1995,happy
